node_id,x_coord,y_coord,zone_id,node_type,external_node
1,420112.6276,4649422.029,1,centroid,0
2,421423.8101,4648646.331,2,centroid,0
3,422355.4153,4649543.995,3,centroid,0
4,419600.9933,4648144.085,4,centroid,0
5,420521.5483,4648139.309,5,centroid,0
6,419528.8949,4646906.444,6,centroid,0
7,420505.3814,4646903.604,7,centroid,0
8,421358.5106,4646876.045,8,centroid,0
9,422149.9549,4647115.024,9,centroid,0
10,419612.1092,4645712.817,10,centroid,0
11,420541.6153,4645675.07,11,centroid,0
12,421338.479,4645826.763,12,centroid,0
13,422270.5494,4646147.521,13,centroid,0
14,419725.1281,4644300.302,14,centroid,0
15,420541.606,4644262.431,15,centroid,0
16,421457.6133,4644330.254,16,centroid,0
17,423618.0495,4649562.972,17,centroid,0
18,424975.0672,4649555.641,18,centroid,0
19,426591.1748,4649543.007,19,centroid,0
20,428215.1888,4649528.685,20,centroid,0
21,429926.2021,4649517.999,21,centroid,0
22,423084.8773,4648322.641,22,centroid,0
23,424984.0464,4648275.436,23,centroid,0
24,426599.8991,4648270.8,24,centroid,0
25,428217.6375,4648265.385,25,centroid,0
26,429429.9574,4648261.621,26,centroid,0
27,430465.6442,4648136.915,27,centroid,0
28,423563.8863,4646753.382,28,centroid,0
29,424986.2781,4646650.148,29,centroid,0
30,426602.3964,4646652.89,30,centroid,0
31,428218.0883,4646650.752,31,centroid,0
32,429830.8369,4646648.847,32,centroid,0
33,431129.0837,4646656.106,33,centroid,0
34,422717.1091,4645137.852,34,centroid,0
35,423771.0951,4645051.506,35,centroid,0
36,424992.8679,4645038.279,36,centroid,0
37,426607.4347,4645041.622,37,centroid,0
38,428216.3312,4645035.371,38,centroid,0
39,429789.7602,4645055.556,39,centroid,0
40,430805.3103,4645018.531,40,centroid,0
41,423149.9056,4643817.564,41,centroid,0
42,423448.9006,4642863.574,42,centroid,0
43,424911.6139,4642811.435,43,centroid,0
44,426613.6554,4643026.237,44,centroid,0
45,428215.8004,4643019.959,45,centroid,0
46,429665.381,4643184.756,46,centroid,0
47,425804.0856,4641296.008,47,centroid,0
48,426950.2259,4641342.183,48,centroid,0
49,428269.7279,4641408.68,49,centroid,0
50,412537.7152,4641899.833,50,centroid,0
51,413135.4544,4641861.17,51,centroid,0
