A,B,DISTANCE,STREET,ONEWAY,LINKID,TAZID,PATHGRP,TRK_RSTRCT,DISTEXCEPT,RAILSPD,HOV_LYEAR,LN_2015,LN_2019,LN19_2024,LN19_2030,LN19_2040,LN19_2050,LN19_2030UF,LN19_2040UF,LN19_2050UF,LN_P4_EOP3,LN_2040_T,TRN_2015,TRN_2019,TRN19_2024,TRN19_2030,TRN19_2040,TRN19_2050,TRN19_2030U,TRN19_2040U,TRN19_2050U,TN_P4_EOP3,TRN_EOP3,FT_2015,FT_2019,FT19_2024,FT19_2030,FT19_2040,FT19_2050,FT19_2030UF,FT19_2040UF,FT19_2050UF,FT_P4_EOP3,SFAC,CFAC,SCREN_SML,SCREN_MED,SCREN_LRG,SCREN_MPO,JEFF_EDIT,UDOT_FC,UDOTFCCODE,UDOT_AT,TYPE,PROJFLAG,PROJ_ID_N,GEOMETRYSO,GEOMETRY_1,SEGID,TRNSFSRC,JOINDIST,NEW,USE,REMOVE,SHAPE_LENG,GEOMETRY_2,GEOMETRY_3,SHAPE_LE_1,LN23_2028,TRN23_2028,FT23_2028,PASSLANE,SELGRP,LN23_2032,LN23_2042,LN23_2050,LN23_2032UF,LN23_2042UF,LN23_2050UF,TL23_2032,TL23_2042,TL23_2050,TL23_2032UF,TL23_2042UF,TL23_2050UF,PL23_2032,PL23_2042,PL23_2050,PL23_2032UF,PL23_2042UF,PL23_2050UF,FT23_2032,FT23_2042,FT23_2050,FT23_2032UF,FT23_2042UF,FT23_2050UF,LN_2023,FT_2023,TRN_2023,PL_2023,LN_TMP,TRN_TMP,FT_TMP,PL_TMP,PROJECT_NUM
"1091","1850",0.24956,SR-142,"2",1091_1850,"50","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","6","6","6","6","6","6","6","6","6","6",0.00,"0","0","0","0","0","0",Local,"7",Rural,,"0",0.0,"1","1",,,0.00000,"0","2","0",1317.66113,"1","1",1317.66113,"1","0","6","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","6","6","6","6","6","6","1","6","0","0","1","0","6","0",
"1092","1284",0.16539,S 1000 W,"2",1092_1284,"432","0","0","0","0","0","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","3","0","2","2","2","2","2","2","2","2","2","2",0.00,"0","0","0","0","0","1",Other Principal A,"3",Urban,Arterial,"0",0.0,"1","1",0252_000.0,NBSB_Hwy_SJ,0.86403,"1","1","0",873.23840,"1","1",873.23840,"2","1","2","0","0","2","2","2","2","2","2","1","1","1","1","1","1","0","0","0","0","0","0","2","2","2","2","2","2","2","2","1","0","2","1","2","0",
"1092","1406",0.33380,S 1000 W,"2",1092_1406,"437","0","0","0","0","0","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","3","0","2","2","2","2","2","2","2","2","2","2",0.00,"0","0","0","0","0","1",Other Principal A,"3",Urban,Arterial,"0",0.0,"1","1",0252_000.0,NBSB_Hwy_SJ,0.98301,"1","1","0",1762.47327,"1","1",1762.47327,"2","1","2","0","0","2","2","2","2","2","2","1","1","1","1","1","1","0","0","0","0","0","0","2","2","2","2","2","2","2","2","1","0","2","1","2","0",
"1093","1695",0.17989,"600","2",1093_1695,"407","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","4","0","4","4","4","4","4","4","4","4","4","4",0.00,"0","0","0","0","0","1",Major Collector,"5",Urban,Arterial,"0",0.0,"1","1",1184_006.7,EBWB_Hwy_SJ,0.64345,"1","1","0",949.80072,"1","1",949.80072,"1","0","4","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","4","4","4","4","4","4","1","4","0","0","1","0","4","0",
"1093","1696",0.07794,S 1000 W,"2",1093_1696,"405","0","0","0","0","0","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","3","0","2","2","2","2","2","2","2","2","2","2",0.00,"0","0","0","0","0","1",Other Principal A,"3",Urban,Arterial,"0",0.0,"1","1",0252_001.6,NBSB_Hwy_SJ,0.98768,"1","1","0",411.53870,"1","1",411.53870,"2","1","2","0","0","2","2","2","2","2","2","1","1","1","1","1","1","0","0","0","0","0","0","2","2","2","2","2","2","2","2","1","0","2","1","2","0",
"1093","1715",0.23731,S 1000 W,"2",1093_1715,"423","0","0","0","0","0","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","3","0","2","2","2","2","2","2","2","2","2","2",0.00,"0","0","0","0","0","1",Other Principal A,"3",Urban,Arterial,"0",0.0,"1","1",0252_001.1,NBSB_Hwy_SJ,0.92923,"1","1","0",1253.00562,"1","1",1253.00562,"2","1","2","0","0","2","2","2","2","2","2","1","1","1","1","1","1","0","0","0","0","0","0","2","2","2","2","2","2","2","2","1","0","2","1","2","0",
"1093","2000",0.22660,600 S,"2",1093_2000,"405","0","0","0","0","0","1","1","1","1","1","2","1","1","2","2","1","0","0","0","0","0","1","0","0","1","1","0","3","3","3","3","3","3","3","3","3","3",0.00,"0","0","0","0","0","1",Minor Arterial,"4",Urban,Arterial,"1",0.0,"1","1",1184_005.7,EBWB_Hwy_SJ,0.65110,"1","1","0",1196.34290,"1","1",1196.34290,"1","0","3","0","0","1","1","2","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","3","3","3","3","3","3","1","3","0","0","2","0","3","0",
"1094","723",0.43241,,"2",1094_702,"702","0","0","0","0","0","7","7","7","7","7","7","7","7","7","7","7","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1",0.00,"0","0","0","0","0","0",,"0",Rural,,"0",0.0,"1","1",,,0.00000,"0","0","0",2283.14087,"1","1",2283.14087,"7","0","1","0","0","7","7","7","7","7","7","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","7","1","0","0","7","0","1","0",
"1094","732",1.04585,,"2",1094_711,"711","0","0","0","0","0","7","7","7","7","7","7","7","7","7","7","7","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1",0.00,"0","0","0","0","0","0",,"0",Rural,,"0",0.0,"1","1",,,0.00000,"0","0","0",5522.10449,"1","1",5522.10449,"7","0","1","0","0","7","7","7","7","7","7","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","7","1","0","0","7","0","1","0",
"1094","1497",1.08799,SR-23,"2",1094_1497,"702","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","4","0","4","4","4","4","4","4","4","4","4","4",0.00,"0","0","0","0","0","0",Major Collector,"5",Rural,Arterial,"0",0.0,"1","1",0023_012.6,NBSB_Hwy_SJ,0.66725,"1","1","0",5744.58691,"1","1",5744.58691,"1","0","4","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","4","4","4","4","4","4","1","4","0","0","1","0","4","0",
