from_node_id,to_node_id,link_id,length,directed,name,zone_id,capacity_scaling_factor,area_type,lanes,raw_capacity,speed,ftype,capacity,GEOMETRYSO,GEOMETRY_1,GEOMETRY_2,GEOMETRY_3,TL23_2032,TRN_2023
2384,1139,2384_1139,0.1024,0,1000,299,1,Urban,1,840,23,Minor Arterial,,1,1,1,1,1,0
2385,302,2385_302,0.20078,0,,198,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2385,328,2385_328,0.15213,0,,198,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2385,1139,2385_1139,0.1347,0,1000,325,1,Urban,1,840,23,Minor Arterial,,1,1,1,1,1,0
2385,1154,2385_1154,0.1439,0,1000,325,1,Urban,1,840,23,Minor Arterial,,1,1,1,1,1,0
2386,327,2386_327,0.11507,0,,324,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2386,328,2386_328,0.17042,0,,198,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2386,1139,2386_1139,0.25947,0,400 W,325,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2386,2664,2386_2664,0.09308,0,400 W,325,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2387,329,2387_329,0.10965,0,,198,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2387,1152,2387_1152,0.12755,0,W 600 N,325,1,Urban,1,515,21,Minor Collector,,1,1,1,1,0,0
2387,1647,2387_1647,0.1373,0,W 600 N,325,1,Urban,1,515,21,Minor Collector,,1,1,1,1,0,0
2388,293,2388_293,0.06272,0,,291,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2388,1356,2388_1356,0.05265,0,N 1200 E,257,1,Urban,1,666,22,Major Collector,,1,1,1,1,0,0
2388,1357,2388_1357,0.4053,0,N 1200 E,257,1,Urban,1,666,22,Major Collector,,1,1,1,1,0,0
2389,316,2389_316,0.11494,0,,313,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2389,1353,2389_1353,0.16009,0,1200 EAST,311,1,Urban,1,666,22,Major Collector,,1,1,1,1,0,0
2389,1356,2389_1356,0.12353,0,1200 EAST,311,1,Urban,1,666,22,Major Collector,,1,1,1,1,0,0
2390,291,2390_291,0.06477,0,,289,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2390,312,2390_312,0.14293,0,,309,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2390,1298,2390_1298,0.1342,0,SR-239,309,1.2,Urban,2,806,23,Minor Arterial,,1,1,1,1,1,1
2390,1314,2390_1314,0.1348,0,SR-239,309,1.2,Urban,2,806,23,Minor Arterial,,1,1,1,1,1,1
2391,313,2391_313,0.14101,0,,310,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2391,1312,2391_1312,0.099,0,SR-237,310,1,Urban,2,806,23,Minor Arterial,,1,1,1,1,0,0
2391,1637,2391_1637,0.18701,0,SR-237,310,1,Urban,2,806,23,Minor Arterial,,1,1,1,1,0,0
2392,310,2392_310,0.13139,0,,307,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2392,1635,2392_1635,0.15142,0,400 E,305,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2392,2197,2392_2197,0.13444,0,400 E,305,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2393,290,2393_290,0.06532,0,,288,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2393,310,2393_310,0.14266,0,,307,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2393,1298,2393_1298,0.12685,0,SR-239,307,1.2,Urban,2,806,23,Minor Arterial,,1,1,1,1,1,1
2393,1635,2393_1635,0.13302,0,SR-239,307,1.2,Urban,2,806,23,Minor Arterial,,1,1,1,1,1,1
2394,289,2394_289,0.06738,0,,287,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2394,308,2394_308,0.15127,0,,305,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2394,1237,2394_1237,0.11945,0,SR-239,287,1.2,Urban,2,806,23,Minor Arterial,,1,1,1,1,1,1
2394,1635,2394_1635,0.1369,0,SR-239,287,1.2,Urban,2,806,23,Minor Arterial,,1,1,1,1,1,1
