N,X,Y,TAZID,EXTERNAL,PNR_2015,PNR_2019,PNR_2024,PNR_2030,PNR_2040,PNR_2050,PNR_2030UF,PNR_2040UF,PNR_2050UF,GEOMETRYSO,GEOMETRY_1
"71",422120.38095,4638650.47803,"71","0","0","0","0","0","0","0","0","0","0","1","1"
"72",423010.18524,4638636.10505,"72","0","0","0","0","0","0","0","0","0","0","1","1"
"73",424012.43007,4638634.41211,"73","0","0","0","0","0","0","0","0","0","0","1","1"
"74",425022.14739,4640222.38366,"74","0","0","0","0","0","0","0","0","0","0","1","1"
"75",425478.11287,4638274.27277,"75","0","0","0","0","0","0","0","0","0","0","1","1"
"76",426774.67588,4638381.98381,"76","0","0","0","0","0","0","0","0","0","0","1","1"
"77",425363.77857,4637527.33025,"77","0","0","0","0","0","0","0","0","0","0","1","1"
"78",426016.54550,4637440.01420,"78","0","0","0","0","0","0","0","0","0","0","1","1"
"79",426979.28690,4637433.16149,"79","0","0","0","0","0","0","0","0","0","0","1","1"
"80",425618.98648,4636353.25230,"80","0","0","0","0","0","0","0","0","0","0","1","1"
"81",426015.45403,4636634.75957,"81","0","0","0","0","0","0","0","0","0","0","1","1"
"82",426857.75302,4636641.76359,"82","0","0","0","0","0","0","0","0","0","0","1","1"
"83",425526.29581,4635133.10440,"83","0","0","0","0","0","0","0","0","0","0","1","1"
"84",426011.55189,4635647.27849,"84","0","0","0","0","0","0","0","0","0","0","1","1"
"85",426642.85190,4635835.58140,"85","0","0","0","0","0","0","0","0","0","0","1","1"
"86",425547.97864,4634207.28485,"86","0","0","0","0","0","0","0","0","0","0","1","1"
"87",425890.85739,4634392.19129,"87","0","0","0","0","0","0","0","0","0","0","1","1"
"88",425031.69980,4633386.96354,"88","0","0","0","0","0","0","0","0","0","0","1","1"
"89",425619.26344,4633393.18846,"89","0","0","0","0","0","0","0","0","0","0","1","1"
"90",426370.23700,4633240.50703,"90","0","0","0","0","0","0","0","0","0","0","1","1"
"91",424362.49987,4631984.74481,"91","0","0","0","0","0","0","0","0","0","0","1","1"
"92",425131.23704,4632092.06352,"92","0","0","0","0","0","0","0","0","0","0","1","1"
"93",426234.87915,4632301.05521,"93","0","0","0","0","0","0","0","0","0","0","1","1"
"94",416730.02741,4635252.22600,"94","0","0","0","0","0","0","0","0","0","0","1","1"
"95",417361.36084,4635210.31837,"95","0","0","0","0","0","0","0","0","0","0","1","1"
"96",418099.91673,4635260.37166,"96","0","0","0","0","0","0","0","0","0","0","1","1"
"97",416776.50082,4634450.60024,"97","0","0","0","0","0","0","0","0","0","0","1","1"
"98",417362.49152,4634619.02734,"98","0","0","0","0","0","0","0","0","0","0","1","1"
"99",418157.75677,4634575.29699,"99","0","0","0","0","0","0","0","0","0","0","1","1"
"100",417315.42036,4634014.82963,"100","0","0","0","0","0","0","0","0","0","0","1","1"
"101",418114.74675,4634001.57476,"101","0","0","0","0","0","0","0","0","0","0","1","1"
"102",418862.76623,4634215.40496,"102","0","0","0","0","0","0","0","0","0","0","1","1"
"103",433924.09615,4643813.45472,"103","0","0","0","0","0","0","0","0","0","0","1","1"
"104",432113.71558,4641702.71686,"104","0","0","0","0","0","0","0","0","0","0","1","1"
"105",432765.64035,4642500.53911,"105","0","0","0","0","0","0","0","0","0","0","1","1"
"106",433481.46459,4642837.77684,"106","0","0","0","0","0","0","0","0","0","0","1","1"
"107",433310.99133,4641838.82283,"107","0","0","0","0","0","0","0","0","0","0","1","1"
"108",433885.03423,4642092.50714,"108","0","0","0","0","0","0","0","0","0","0","1","1"
"109",434172.02478,4641663.18128,"109","0","0","0","0","0","0","0","0","0","0","1","1"
"110",431859.15422,4641290.68899,"110","0","0","0","0","0","0","0","0","0","0","1","1"
"111",432267.82301,4641287.71208,"111","0","0","0","0","0","0","0","0","0","0","1","1"
"112",432702.55044,4641274.86803,"112","0","0","0","0","0","0","0","0","0","0","1","1"
"113",433286.70300,4641261.39035,"113","0","0","0","0","0","0","0","0","0","0","1","1"
"114",433745.80385,4641233.84180,"114","0","0","0","0","0","0","0","0","0","0","1","1"
"115",434001.67923,4641080.77745,"115","0","0","0","0","0","0","0","0","0","0","1","1"
"116",431786.45965,4640609.39067,"116","0","0","0","0","0","0","0","0","0","0","1","1"
"117",432249.91423,4640614.70818,"117","0","0","0","0","0","0","0","0","0","0","1","1"
"118",432680.15382,4640610.85186,"118","0","0","0","0","0","0","0","0","0","0","1","1"
"119",433259.93319,4640804.93326,"119","0","0","0","0","0","0","0","0","0","0","1","1"
"120",433204.12045,4640360.23900,"120","0","0","0","0","0","0","0","0","0","0","1","1"
"121",433867.05663,4640473.25024,"121","0","0","0","0","0","0","0","0","0","0","1","1"
"122",432225.66270,4639763.85802,"122","0","0","0","0","0","0","0","0","0","0","1","1"
"123",432643.40015,4639796.13750,"123","0","0","0","0","0","0","0","0","0","0","1","1"
"124",433179.08003,4639790.56242,"124","0","0","0","0","0","0","0","0","0","0","1","1"
"125",429799.74941,4632933.14226,"125","0","0","0","0","0","0","0","0","0","0","1","1"
"126",430136.45037,4633108.97424,"126","0","0","0","0","0","0","0","0","0","0","1","1"
